set INSTALLATION := I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I14 I19 I21 I22 I23 I24 I25 I28 I29 I30 I61 ;
set SITE  := V0 V1 V2 V3 V4 V5 V6 ;
param radius := 6371;
param coef_from := 1.825;
param average_speed := 14;
param :     arrive_time xcord_i ycord_i:= 
I1 2.0   64.38   5.25
I2 2.0   64.12   5.23
I3 2.0   64.27   5.27
I4 4.0   64.09   5.52
I5 2.0   64.51   5.08
I6 2.0   64.57   5.19
I7 2.0   64.28   4.88
I8 2.0   64.28   4.89
I9 2.0   64.21   4.81
I10 4.0   64.07   5.34
I11 4.0   64.35   5.43
I14 4.0   64.79   5.64
I19 4.0   63.55   5.1
I21 2.0   63.51   5.8
I22 2.0   63.63   5.73
I23 2.0   63.56   5.76
I24 2.0   63.4   5.795
I25 2.0   63.75   5.89
I28 2.0   63.67   6.69
I29 2.0   63.73   6.48
I30 2.0   63.9   6.65
I61 2.0   64.15   3.75
;
param : 	xcord_s ycord_s:= 
V0 64.15 3.11
 V1 64.93 6.15
 V2 63.57966458270282 5.039742851117995
 V3 63.93899069635062 6.32693057871896
 V4 64.29831680999843 4.610080512929462
 V5 64.29831680999843 5.039742851117995
 V6 63.57966458270282 5.898191750628361
 ;
param vessels_number := 3;
