set INSTALLATION := I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I14 I19 I21 I22 I23 I24 I25 I28 I29 I30 I61 ;
set SITE  := V0 V1 V2 V3 V4 V5 V6 ;
param radius := 6371;
param coef_from := 1.825;
param average_speed := 14;
param vessels_number := 3;
param :     arrive_time xcord_i ycord_i   consequence	threat:=  
I1 3.0   64.38   5.25   120   0.001
I2 3.0   64.12   5.23   900   1e-05
I3 3.0   64.27   5.27   231   0.00199999999
I4 5.0   64.09   5.52   431   0.001
I5 3.0   64.51   5.08   341   1e-05
I6 3.0   64.57   5.19   900   0.001
I7 3.0   64.28   4.88   900   1e-05
I8 3.0   64.28   4.89   777   0.007
I9 3.0   64.21   4.81   777   0.007
I10 5.0   64.07   5.34   5   1e-05
I11 5.0   64.35   5.43   5   1e-05
I14 5.0   64.79   5.64   5   0.007
I19 5.0   63.55   5.1   5   0.007
I21 3.0   63.51   5.8   5   0.007
I22 3.0   63.63   5.73   5   0.007
I23 3.0   63.56   5.76   900   1e-05
I24 3.0   63.4   5.795   900   1e-05
I25 3.0   63.75   5.89   900   0.007
I28 3.0   63.67   6.69   143   0.007
I29 3.0   63.73   6.48   143   1e-05
I30 3.0   63.9   6.65   1200   0.001
I61 3.0   64.15   3.75   5   3.0
;
